Request_ID,Staff_ID,Current_Status,Created_At,Last_Updated,Request_Reason,Manager_Reason,Document,User_Seen,Manager_Seen
27,151472,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
28,151578,Pending,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
29,160333,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
30,151610,Pending,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
31,140947,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
32,190098,Approved,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
33,150318,Pending,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
34,210030,Pending,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
35,140942,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
36,150165,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
37,171024,Pending,2024-11-03,2024-11-03,Family obligations.,,[],True,True
38,151583,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
39,171035,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
40,140879,Pending,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
41,150065,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
42,140928,Approved,2024-11-03,2024-11-03,Personal errands.,,[],True,True
43,171016,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
44,150065,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
45,140894,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
46,151597,Pending,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
47,151439,Rejected,2024-11-03,2024-11-03,Slight illness but can still work.,Insufficient justification for WFH.,[],True,True
48,150566,Pending,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
49,210020,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
50,151506,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
51,150638,Pending,2024-11-03,2024-11-03,Family obligations.,,[],True,True
52,210034,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
53,151548,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
54,150866,Approved,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
55,190050,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
56,151519,Approved,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
57,190065,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
58,140904,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
59,190038,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
60,160296,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
61,140893,Rejected,2024-11-03,2024-11-03,Can work during off-peak hours.,Request conflicts with other schedules.,[],True,True
62,190089,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
63,151456,Approved,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
64,180020,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
65,151580,Approved,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
66,160282,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
67,150423,Pending,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
68,151008,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
69,140926,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
70,151568,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
71,190054,Rejected,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,Request conflicts with other schedules.,[],True,True
72,140002,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
73,151601,Rejected,2024-11-03,2024-11-03,Better concentration and productivity.,Insufficient justification for WFH.,[],True,True
74,190040,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
75,160300,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
76,190025,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
77,180030,Pending,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
78,171031,Rejected,2024-11-03,2024-11-03,Can work during off-peak hours.,Insufficient justification for WFH.,[],True,True
79,151480,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
80,140933,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
81,160148,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
82,151408,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
83,140103,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
84,151509,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
85,151544,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
86,190033,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
87,151418,Rejected,2024-11-03,2024-11-03,Personal errands.,Company policy does not allow WFH on this day.,[],True,True
88,151548,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
89,151432,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
90,160338,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
91,150632,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
92,171031,Pending,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
93,151559,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
94,190041,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
95,151468,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
96,151521,Rejected,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,Team needs to collaborate in person.,[],True,True
97,150345,Rejected,2024-11-03,2024-11-03,Prefer the home office setup.,Request conflicts with other schedules.,[],True,True
98,140923,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
99,151416,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
100,150342,Approved,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
101,151415,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
102,150155,Pending,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
103,171033,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
104,160329,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
105,140004,Pending,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
106,140919,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
107,151537,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
108,210029,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
109,151539,Pending,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
110,151451,Approved,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
111,150776,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
112,151608,Approved,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
113,150258,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
114,151499,Rejected,2024-11-03,2024-11-03,Home maintenance or repairs.,Company policy does not allow WFH on this day.,[],True,True
115,160290,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
116,190082,Approved,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
117,190014,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
118,151531,Pending,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
119,180034,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
120,171010,Approved,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
121,170233,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
122,140894,Pending,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
123,140900,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
124,140908,Pending,2024-11-03,2024-11-03,Personal errands.,,[],True,True
125,150258,Rejected,2024-11-03,2024-11-03,More comfortable working from home.,Insufficient justification for WFH.,[],True,True
126,151488,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
127,210019,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
128,150345,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
129,160328,Pending,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
130,190049,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
131,140938,Pending,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
132,190077,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
133,151496,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
134,140923,Approved,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
135,140108,Rejected,2024-11-03,2024-11-03,Prefer the home office setup.,Request conflicts with other schedules.,[],True,True
136,160306,Approved,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
137,160324,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
138,190026,Approved,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
139,160076,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
140,140909,Pending,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
141,151580,Pending,2024-11-03,2024-11-03,Personal errands.,,[],True,True
142,150118,Pending,2024-11-03,2024-11-03,Family obligations.,,[],True,True
143,151496,Pending,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
144,151573,Rejected,2024-11-03,2024-11-03,Home maintenance or repairs.,WFH not suitable for this role.,[],True,True
145,150166,Pending,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
146,150148,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
147,151541,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
148,151492,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
149,150238,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
150,151545,Rejected,2024-11-03,2024-11-03,Slight illness but can still work.,WFH not suitable for this role.,[],True,True
151,151058,Pending,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
152,140900,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
153,140945,Approved,2024-11-03,2024-11-03,Personal errands.,,[],True,True
154,150638,Rejected,2024-11-03,2024-11-03,More comfortable working from home.,Request conflicts with other schedules.,[],True,True
155,151574,Pending,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
156,210026,Pending,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
157,180023,Pending,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
158,151531,Rejected,2024-11-03,2024-11-03,Online training or conference.,Insufficient justification for WFH.,[],True,True
159,210030,Approved,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
160,160338,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
161,150205,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
162,140944,Pending,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
163,150143,Pending,2024-11-03,2024-11-03,Personal errands.,,[],True,True
164,151600,Approved,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
165,151465,Pending,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
166,160318,Rejected,2024-11-03,2024-11-03,Better concentration and productivity.,Company policy does not allow WFH on this day.,[],True,True
167,190093,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
168,171038,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
169,160289,Pending,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
170,151433,Pending,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
171,140904,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
172,140928,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
173,150232,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
174,190069,Pending,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
175,190079,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
176,150348,Pending,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
177,151482,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
178,190044,Approved,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
179,160146,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
180,190088,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
181,151482,Rejected,2024-11-03,2024-11-03,No commute allows for earlier start.,WFH not suitable for this role.,[],True,True
182,140004,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
183,180004,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
184,151598,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
185,150938,Pending,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
186,171032,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
187,151495,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
188,190029,Approved,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
189,140947,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
190,151539,Rejected,2024-11-03,2024-11-03,Bad weather or traffic.,Team needs to collaborate in person.,[],True,True
191,140103,Pending,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
192,210034,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
193,151426,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
194,150138,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
195,151414,Pending,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
196,150008,Rejected,2024-11-03,2024-11-03,Quiet environment for focused work.,Company policy does not allow WFH on this day.,[],True,True
197,151441,Pending,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
198,140938,Pending,2024-11-03,2024-11-03,Family obligations.,,[],True,True
199,160331,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
200,171018,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
201,151548,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
202,140925,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
203,190033,Pending,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
204,180025,Pending,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
205,171047,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
206,190050,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
207,190018,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
208,210018,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
209,140015,Approved,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
210,171041,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
211,151533,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
212,150565,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
213,160296,Pending,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
214,160336,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
215,150918,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
216,150765,Rejected,2024-11-03,2024-11-03,More time for family or personal life.,WFH not suitable for this role.,[],True,True
217,190069,Approved,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
218,160299,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
219,150258,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
220,140103,Approved,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
221,151556,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
222,140934,Approved,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
223,160304,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
224,151547,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
225,160338,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
226,190032,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
227,151541,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
228,210022,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
229,190029,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
230,151521,Pending,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
231,160326,Approved,2024-11-03,2024-11-03,Personal errands.,,[],True,True
232,190004,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
233,160075,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
234,210024,Pending,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
235,151521,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
236,140909,Pending,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
237,190040,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
238,140888,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
239,151492,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
240,140925,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
241,150705,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
242,150155,Rejected,2024-11-03,2024-11-03,Home maintenance or repairs.,Request conflicts with other schedules.,[],True,True
243,151471,Approved,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
244,160298,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
245,150428,Pending,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
246,151418,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
247,150193,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
248,140900,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
249,190092,Pending,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
250,170232,Pending,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
251,151476,Rejected,2024-11-03,2024-11-03,Fewer distractions at home.,WFH not suitable for this role.,[],True,True
252,150518,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
253,190004,Pending,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
254,140901,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
255,151485,Pending,2024-11-03,2024-11-03,Family obligations.,,[],True,True
256,210022,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
257,140003,Pending,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
258,170166,Pending,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
259,151118,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
260,190068,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
261,151602,Pending,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
262,170166,Pending,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
263,140881,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
264,210034,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
265,160325,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
266,150295,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
267,160297,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
268,180023,Rejected,2024-11-03,2024-11-03,More time for family or personal life.,WFH not suitable for this role.,[],True,True
269,190017,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
270,160295,Pending,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
271,151469,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
272,151471,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
273,151444,Pending,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
274,180014,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
275,151593,Rejected,2024-11-03,2024-11-03,Slight illness but can still work.,Request conflicts with other schedules.,[],True,True
276,150155,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
277,171029,Pending,2024-11-03,2024-11-03,Save time and reduce stress by not commuting.,,[],True,True
278,151528,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
279,151591,Rejected,2024-11-03,2024-11-03,Slight illness but can still work.,Team needs to collaborate in person.,[],True,True
280,151584,Pending,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
281,150566,Approved,2024-11-03,2024-11-03,Personal errands.,,[],True,True
282,150138,Pending,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
283,151602,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
284,171011,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
285,150435,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
286,160308,Pending,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
287,150845,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
288,190075,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
289,190010,Pending,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
290,151521,Pending,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
291,150638,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
292,151548,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
293,171033,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
294,160334,Rejected,2024-11-03,2024-11-03,No commute allows for earlier start.,Insufficient justification for WFH.,[],True,True
295,160213,Approved,2024-11-03,2024-11-03,Bad weather or traffic.,,[],True,True
296,171035,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
297,171042,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
298,180020,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
299,210035,Pending,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
300,151517,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
301,170216,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
302,140894,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
303,151476,Pending,2024-11-03,2024-11-03,Family obligations.,,[],True,True
304,151531,Pending,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
305,160289,Pending,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
306,190015,Pending,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
307,130002,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
308,171011,Pending,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
309,151547,Approved,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
310,151472,Rejected,2024-11-03,2024-11-03,Online training or conference.,Company policy does not allow WFH on this day.,[],True,True
311,171009,Pending,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
312,151493,Rejected,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,WFH not suitable for this role.,[],True,True
313,160146,Rejected,2024-11-03,2024-11-03,Online training or conference.,Request conflicts with other schedules.,[],True,True
314,150348,Approved,2024-11-03,2024-11-03,Family obligations.,,[],True,True
315,151500,Pending,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
316,190016,Approved,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
317,180026,Approved,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
318,171033,Pending,2024-11-03,2024-11-03,Personal errands.,,[],True,True
319,190009,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
320,190035,Pending,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
321,180021,Pending,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
322,190068,Pending,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
323,160306,Approved,2024-11-03,2024-11-03,Unexpected disruption at home.,,[],True,True
324,151513,Approved,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
325,151607,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
326,151558,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
327,140888,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
328,150938,Pending,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
