Request_ID,Date,WFH_Type
2,2024-03-09,PM
2,2024-03-10,PM
2,2024-03-11,PM
2,2024-03-12,PM
2,2024-03-13,PM
2,2024-03-14,PM
2,2024-03-15,PM
2,2024-03-16,PM
2,2024-03-17,PM
2,2024-03-18,PM
2,2024-03-19,PM
2,2024-03-20,PM
2,2024-03-21,PM
2,2024-03-22,PM
2,2024-03-23,PM
2,2024-03-24,PM
2,2024-03-25,PM
2,2024-03-26,PM
2,2024-03-27,PM
2,2024-03-28,PM
2,2024-03-29,PM
2,2024-03-30,PM
2,2024-03-31,PM
2,2024-04-01,PM
2,2024-04-02,PM
2,2024-04-03,PM
2,2024-04-04,PM
2,2024-04-05,PM
2,2024-04-06,PM
2,2024-04-07,PM
2,2024-04-08,PM
2,2024-04-09,PM
2,2024-04-10,PM
2,2024-04-11,PM
2,2024-04-12,PM
2,2024-04-13,PM
2,2024-04-14,PM
2,2024-04-15,PM
2,2024-04-16,PM
2,2024-04-17,PM
2,2024-04-18,PM
2,2024-04-19,PM
2,2024-04-20,PM
2,2024-04-21,PM
2,2024-04-22,PM
2,2024-04-23,PM
2,2024-04-24,PM
2,2024-04-25,PM
2,2024-04-26,PM
3,2024-04-03,AM
3,2024-04-04,AM
3,2024-04-05,AM
3,2024-04-06,AM
3,2024-04-07,AM
3,2024-04-08,AM
3,2024-04-09,AM
3,2024-04-10,AM
3,2024-04-11,AM
3,2024-04-12,AM
3,2024-04-13,AM
3,2024-04-14,AM
3,2024-04-15,AM
3,2024-04-16,AM
3,2024-04-17,AM
3,2024-04-18,AM
3,2024-04-19,AM
3,2024-04-20,AM
3,2024-04-21,AM
3,2024-04-22,AM
3,2024-04-23,AM
3,2024-04-24,AM
3,2024-04-25,AM
3,2024-04-26,AM
3,2024-04-27,AM
3,2024-04-28,AM
3,2024-04-29,AM
3,2024-04-30,AM
3,2024-05-01,AM
3,2024-05-02,AM
3,2024-05-03,AM
3,2024-05-04,AM
3,2024-05-05,AM
3,2024-05-06,AM
3,2024-05-07,AM
3,2024-05-08,AM
3,2024-05-09,AM
3,2024-05-10,AM
3,2024-05-11,AM
3,2024-05-12,AM
3,2024-05-13,AM
3,2024-05-14,AM
3,2024-05-15,AM
3,2024-05-16,AM
3,2024-05-17,AM
3,2024-05-18,AM
3,2024-05-19,AM
3,2024-05-20,AM
3,2024-05-21,AM
3,2024-05-22,AM
3,2024-05-23,AM
3,2024-05-24,AM
3,2024-05-25,AM
3,2024-05-26,AM
3,2024-05-27,AM
3,2024-05-28,AM
3,2024-05-29,AM
3,2024-05-30,AM
3,2024-05-31,AM
3,2024-06-01,AM
3,2024-06-02,AM
3,2024-06-03,AM
3,2024-06-04,AM
3,2024-06-05,AM
3,2024-06-06,AM
3,2024-06-07,AM
3,2024-06-08,AM
3,2024-06-09,AM
3,2024-06-10,AM
3,2024-06-11,AM
3,2024-06-12,AM
3,2024-06-13,AM
3,2024-06-14,AM
3,2024-06-15,AM
3,2024-06-16,AM
3,2024-06-17,AM
3,2024-06-18,AM
3,2024-06-19,AM
3,2024-06-20,AM
3,2024-06-21,AM
3,2024-06-22,AM
3,2024-06-23,AM
3,2024-06-24,AM
3,2024-06-25,AM
3,2024-06-26,AM
3,2024-06-27,AM
3,2024-06-28,AM
3,2024-06-29,AM
3,2024-06-30,AM
3,2024-07-01,AM
3,2024-07-02,AM
3,2024-07-03,AM
3,2024-07-04,AM
3,2024-07-05,AM
3,2024-07-06,AM
3,2024-07-07,AM
3,2024-07-08,AM
3,2024-07-09,AM
3,2024-07-10,AM
3,2024-07-11,AM
3,2024-07-12,AM
3,2024-07-13,AM
3,2024-07-14,AM
3,2024-07-15,AM
3,2024-07-16,AM
3,2024-07-17,AM
3,2024-07-18,AM
3,2024-07-19,AM
3,2024-07-20,AM
3,2024-07-21,AM
3,2024-07-22,AM
3,2024-07-23,AM
3,2024-07-24,AM
3,2024-07-25,AM
3,2024-07-26,AM
3,2024-07-27,AM
3,2024-07-28,AM
3,2024-07-29,AM
3,2024-07-30,AM
3,2024-07-31,AM
3,2024-08-01,AM
3,2024-08-02,AM
3,2024-08-03,AM
3,2024-08-04,AM
3,2024-08-05,AM
3,2024-08-06,AM
3,2024-08-07,AM
3,2024-08-08,AM
3,2024-08-09,AM
3,2024-08-10,AM
3,2024-08-11,AM
3,2024-08-12,AM
3,2024-08-13,AM
3,2024-08-14,AM
3,2024-08-15,AM
3,2024-08-16,AM
3,2024-08-17,AM
3,2024-08-18,AM
3,2024-08-19,AM
3,2024-08-20,AM
3,2024-08-21,AM
3,2024-08-22,AM
3,2024-08-23,AM
3,2024-08-24,AM
3,2024-08-25,AM
3,2024-08-26,AM
3,2024-08-27,AM
3,2024-08-28,AM
3,2024-08-29,AM
3,2024-08-30,AM
3,2024-08-31,AM
3,2024-09-01,AM
3,2024-09-02,AM
3,2024-09-03,AM
3,2024-09-04,AM
3,2024-09-05,AM
3,2024-09-06,AM
3,2024-09-07,AM
3,2024-09-08,AM
3,2024-09-09,AM
3,2024-09-10,AM
3,2024-09-11,AM
3,2024-09-12,AM
3,2024-09-13,AM
3,2024-09-14,AM
3,2024-09-15,AM
3,2024-09-16,AM
3,2024-09-17,AM
3,2024-09-18,AM
3,2024-09-19,AM
3,2024-09-20,AM
3,2024-09-21,AM
3,2024-09-22,AM
3,2024-09-23,AM
3,2024-09-24,AM
3,2024-09-25,AM
3,2024-09-26,AM
3,2024-09-27,AM
3,2024-09-28,AM
3,2024-09-29,AM
3,2024-09-30,AM
3,2024-10-01,AM
3,2024-10-02,AM
3,2024-10-03,AM
3,2024-10-04,AM
3,2024-10-05,AM
3,2024-10-06,AM
3,2024-10-07,AM
3,2024-10-08,AM
3,2024-10-09,AM
3,2024-10-10,AM
3,2024-10-11,AM
3,2024-10-12,AM
3,2024-10-13,AM
3,2024-10-14,AM
3,2024-10-15,AM
3,2024-10-16,AM
3,2024-10-17,AM
3,2024-10-18,AM
3,2024-10-19,AM
3,2024-10-20,AM
3,2024-10-21,AM
3,2024-10-22,AM
3,2024-10-23,AM
3,2024-10-24,AM
3,2024-10-25,AM
3,2024-10-26,AM
3,2024-10-27,AM
3,2024-10-28,AM
3,2024-10-29,AM
3,2024-10-30,AM
3,2024-10-31,AM
3,2024-11-01,AM
3,2024-11-02,AM
3,2024-11-03,AM
3,2024-11-04,AM
3,2024-11-05,AM
3,2024-11-06,AM
3,2024-11-07,AM
3,2024-11-08,AM
3,2024-11-09,AM
3,2024-11-10,AM
3,2024-11-11,AM
3,2024-11-12,AM
3,2024-11-13,AM
3,2024-11-14,AM
3,2024-11-15,AM
3,2024-11-16,AM
3,2024-11-17,AM
3,2024-11-18,AM
3,2024-11-19,AM
3,2024-11-20,AM
3,2024-11-21,AM
3,2024-11-22,AM
3,2024-11-23,AM
3,2024-11-24,AM
3,2024-11-25,AM
4,2024-07-16,AM
4,2024-07-17,AM
4,2024-07-18,AM
4,2024-07-19,AM
4,2024-07-20,AM
4,2024-07-21,AM
4,2024-07-22,AM
4,2024-07-23,AM
4,2024-07-24,AM
4,2024-07-25,AM
4,2024-07-26,AM
4,2024-07-27,AM
4,2024-07-28,AM
4,2024-07-29,AM
4,2024-07-30,AM
4,2024-07-31,AM
4,2024-08-01,AM
4,2024-08-02,AM
4,2024-08-03,AM
4,2024-08-04,AM
4,2024-08-05,AM
4,2024-08-06,AM
4,2024-08-07,AM
4,2024-08-08,AM
4,2024-08-09,AM
4,2024-08-10,AM
4,2024-08-11,AM
4,2024-08-12,AM
4,2024-08-13,AM
4,2024-08-14,AM
4,2024-08-15,AM
4,2024-08-16,AM
4,2024-08-17,AM
4,2024-08-18,AM
4,2024-08-19,AM
4,2024-08-20,AM
4,2024-08-21,AM
4,2024-08-22,AM
4,2024-08-23,AM
4,2024-08-24,AM
4,2024-08-25,AM
4,2024-08-26,AM
4,2024-08-27,AM
4,2024-08-28,AM
4,2024-08-29,AM
5,2024-10-01,WD
5,2024-10-02,WD
5,2024-10-03,WD
5,2024-10-04,WD
5,2024-10-05,WD
5,2024-10-06,WD
5,2024-10-07,WD
5,2024-10-08,WD
5,2024-10-09,WD
5,2024-10-10,WD
5,2024-10-11,WD
5,2024-10-12,WD
5,2024-10-13,WD
5,2024-10-14,WD
5,2024-10-15,WD
5,2024-10-16,WD
5,2024-10-17,WD
5,2024-10-18,WD
5,2024-10-19,WD
5,2024-10-20,WD
5,2024-10-21,WD
5,2024-10-22,WD
5,2024-10-23,WD
5,2024-10-24,WD
5,2024-10-25,WD
5,2024-10-26,WD
5,2024-10-27,WD
5,2024-10-28,WD
5,2024-10-29,WD
5,2024-10-30,WD
5,2024-10-31,WD
5,2024-11-01,WD
5,2024-11-02,WD
5,2024-11-03,WD
5,2024-11-04,WD
5,2024-11-05,WD
5,2024-11-06,WD
5,2024-11-07,WD
5,2024-11-08,WD
5,2024-11-09,WD
5,2024-11-10,WD
5,2024-11-11,WD
5,2024-11-12,WD
5,2024-11-13,WD
5,2024-11-14,WD
5,2024-11-15,WD
5,2024-11-16,WD
5,2024-11-17,WD
5,2024-11-18,WD
5,2024-11-19,WD
5,2024-11-20,WD
5,2024-11-21,WD
5,2024-11-22,WD
5,2024-11-23,WD
5,2024-11-24,WD
5,2024-11-25,WD
5,2024-11-26,WD
5,2024-11-27,WD
5,2024-11-28,WD
5,2024-11-29,WD
5,2024-11-30,WD
5,2024-12-01,WD
5,2024-12-02,WD
5,2024-12-03,WD
5,2024-12-04,WD
5,2024-12-05,WD
5,2024-12-06,WD
5,2024-12-07,WD
5,2024-12-08,WD
5,2024-12-09,WD
5,2024-12-10,WD
5,2024-12-11,WD
